0.141 [ Info   ][Thread] Creating Thread for scheduler=ORO_SCHED_OTHER, priority=1, CPU affinity=0, with name='OrbRunner'
0.141 [ Info   ][OrbRunner] Thread created with scheduler type 'ORO_SCHED_OTHER', priority 0, cpu affinity 15 and period 0 (PID= 1682 ).
0.141 [ Info   ][OrbRunner] Entering orb->run().
0.852 [ Info   ][Thread] Creating Thread for scheduler=ORO_SCHED_RT, priority=1, CPU affinity=0, with name='viconCorba'
0.852 [ Warning][Thread] Lowering scheduler type to SCHED_OTHER for non-privileged users..
0.852 [ Warning][viconCorba] Lowering scheduler type to SCHED_OTHER for non-privileged users..
0.852 [ Info   ][viconCorba] Thread created with scheduler type 'ORO_SCHED_OTHER', priority 0, cpu affinity 15 and period 0 (PID= 1788 ).
0.852 [ Info   ][RemoteInputPort::buildRemoteChannelOutput] Started viconCorba.
98.900 [ Info   ][ShutdownOrb] Cleaning up TaskContextServers...
98.900 [ Info   ][~TaskContextServer()] Successfully removed CTaskContext 'vicon' from CORBA Naming Service.
98.901 [ Info   ][ShutdownOrb] Orb Shutdown...waiting...
98.901 [ Info   ][ShutdownOrb] done.
98.901 [ Info   ][OrbRunner] Breaking out of orb->run().
98.901 [ Info   ][OrbRunner] Safely stopped.
98.901 [ Info   ][DestroyOrb] Orb destroyed.
98.903 [ Info   ][Logger] Orocos Logging Deactivated.
